Group,Element,Name,VR,VM,Basic Prof.,Rtn. UIDs Opt.,Rtn. Dev. Id. Opt.,Rtn. Inst. Id. Opt.,Rtn. Pat. Chars. Opt.,Rtn. Long. Full Dates Opt.,Rtn. Long. Modif. Dates Opt.,Clean Desc. Opt.,Clean Struct. Cont. Opt.,Clean Graph. Opt.,TCIA element_sig_pattern,Final CTP Script
0008,0024,Overlay Date,DA,,remove,,,,,keep,func:hash_increment_date,,,,"(0008,0024)","@incrementdate(this,@DATEINC)"
0008,0025,Curve Date,DA,,remove,,,,,keep,func:hash_increment_date,,,,"(0008,0025)","@incrementdate(this,@DATEINC)"
0008,002a,Acquisition DateTime,DT,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0008,002A)","@incrementdate(this,@DATEINC)"
0008,0030,Study Time,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(0008,0030)",@keep()
0008,0031,Series Time,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(0008,0031)",@keep()
0008,0032,Acquisition Time,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(0008,0032)",@keep()
0008,0033,Content Time,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(0008,0033)",@keep()
0008,0034,Overlay Time,TM,,remove,,,,,keep,keep,,,,"(0008,0034)",@keep()
0008,0035,Curve Time,TM,,remove,,,,,keep,keep,,,,"(0008,0035)",@keep()
0008,0050,Accession Number,SH,,blank,,,,,,,,,,"(0008,0050)",@empty()
0008,0054,Retrieve AE Title,AE,,remove,,clean_manually,,,,,,,,"(0008,0054)",@remove()
0008,0055,Station AE Title,AE,,remove,,clean_manually,,,,,,,,"(0008,0055)",@remove()
0008,0058,Failed SOP Instance UID List,UI,,func:generate_hashuid,keep,,,,,,,,,"(0008,0058)","@hashuid(@UIDROOT,this)"
0008,0080,Institution Name,LO,,replace,,,keep,,,,,,,"(0008,0080)",@remove()
0008,0081,Institution Address,ST,,remove,,,keep,,,,,,,"(0008,0081)",@remove()
0008,0082,Institution Code Sequence,SQ,,replace,,,keep,,,,,,,"(0008,0082)",@remove()
0008,0090,Referring Physician's Name,PN,,blank,,,,,,,,,,"(0008,0090)",@empty()
0008,0092,Referring Physician's Address,ST,,remove,,,,,,,,,,"(0008,0092)",@remove()
0008,0094,Referring Physician's Telephone Numbers,SH,,remove,,,,,,,,,,"(0008,0094)",@remove()
0008,0096,Referring Physician Identification Sequence,SQ,,remove,,,,,,,,,,"(0008,0096)",@remove()
0008,009c,Consulting Physician's Name,PN,,blank,,,,,,,,,,"(0008,009C)",@empty()
0008,009d,Consulting Physician Identification Sequence,SQ,,remove,,,,,,,,,,"(0008,009D)",@remove()
0008,0106,Context Group Version,DT,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0008,0106)",@keep()
0008,0107,Context Group Local Version,DT,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0008,0107)",@keep()
0008,0201,Timezone Offset From UTC,SH,,remove,,,,,keep,func:hash_increment_date,,,,"(0008,0201)",@remove()
0008,1000,Network ID,AE,,remove,,clean_manually,,,,,,,,"(0008,1000)",@remove()
0008,1010,Station Name,SH,,replace,,keep,,,,,,,,"(0008,1010)",@remove()
0008,1030,Study Description,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(0008,1030)",@keep()
0008,103e,Series Description,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(0008,103E)",@keep()
0008,1040,Institutional Department Name,LO,,remove,,,keep,,,,,,,"(0008,1040)",@remove()
0008,1041,Institutional Department Type Code Sequence,SQ,,remove,,,keep,,,,,,,"(0008,1041)",@remove()
0008,1048,Physician(s) of Record,PN,,remove,,,,,,,,,,"(0008,1048)",@remove()
0008,1049,Physician(s) of Record Identification Sequence,SQ,,remove,,,,,,,,,,"(0008,1049)",@remove()
0008,1050,Performing Physician's Name,PN,,remove,,,,,,,,,,"(0008,1050)",@remove()
0008,1052,Performing Physician Identification Sequence,SQ,,remove,,,,,,,,,,"(0008,1052)",@remove()
0008,1060,Name of Physician(s) Reading Study,PN,,remove,,,,,,,,,,"(0008,1060)",@remove()
0008,1062,Physician(s) Reading Study Identification Sequence,SQ,,remove,,,,,,,,,,"(0008,1062)",@remove()
0008,1070,Operators' Name,PN,,replace,,,,,,,,,,"(0008,1070)",@remove()
0008,1072,Operator Identification Sequence,SQ,,replace,,,,,,,,,,"(0008,1072)",@remove()
0008,1080,Admitting Diagnoses Description,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(0008,1080)",@keep()
0008,1084,Admitting Diagnoses Code Sequence,SQ,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(0008,1084)",@process()
0008,1088,Pyramid Description,LO,,remove,,,,,,,func:clean_descriptors_with_llm,,,"(0008,1088)",@keep()
0008,1110,Referenced Study Sequence,SQ,,blank,keep,,,,,,,,,"(0008,1110)",@process()
