Group,Element,Private Creator,VR,VM,Meaning,Rtn. Safe Priv. Opt.,IsInDICOMRetainSafePrivateTags,TCIA element_sig_pattern
0009,xx87,GEMS_PETD_01,SL,,PanX,keep,False,"(0009,xx87)"
0009,xx88,GEMS_PETD_01,SL,,PanY,keep,False,"(0009,xx88)"
0009,xx89,GEMS_PETD_01,FL,,Window Level Min,keep,False,"(0009,xx89)"
0009,xx8a,GEMS_PETD_01,FL,,Window Level Max,keep,False,"(0009,xx8a)"
0009,xx8b,GEMS_PETD_01,SL,,ReconMethod,keep,False,"(0009,xx8b)"
0009,xx8c,GEMS_PETD_01,SL,,Attenuation,keep,False,"(0009,xx8c)"
0009,xx8d,GEMS_PETD_01,FL,,Attenuation Coefficient,keep,False,"(0009,xx8d)"
0009,xx8e,GEMS_PETD_01,SL,,BP Filter,keep,False,"(0009,xx8e)"
0009,xx8f,GEMS_PETD_01,FL,,BP Filter Cutoff,keep,False,"(0009,xx8f)"
0009,xx90,FDMS 1.0,OB,,Distribution Code,keep,False,"(0009,xx90)"
0009,xx90,GEMS_PETD_01,SL,,BP Filter Order,keep,False,"(0009,xx90)"
0009,xx91,GEMS_PETD_01,FL,,BP Filter Center I,keep,False,"(0009,xx91)"
0009,xx92,GEMS_PETD_01,FL,,BP Filter Center P,keep,False,"(0009,xx92)"
0009,xx92,FDMS 1.0,OB,,Kanji Department Name,keep,False,"(0009,xx92)"
0009,xx93,GEMS_PETD_01,SL,,Atten Smooth,keep,False,"(0009,xx93)"
0009,xx94,GEMS_PETD_01,SL,,Atten Smooth Param,keep,False,"(0009,xx94)"
0009,xx95,GEMS_PETD_01,SL,,Angle Smooth Param,keep,False,"(0009,xx95)"
0009,xx97,GEMS_PETD_01,LO,,Trans Scan ID,func:generate_hashuid,False,"(0009,xx97)"
0009,xx98,GEMS_PETD_01,LO,,Norm Cal ID,func:generate_hashuid,False,"(0009,xx98)"
0009,xx9a,GEMS_PETD_01,FL,,CAC Edge Threshold,keep,False,"(0009,xx9a)"
0009,xx9b,GEMS_PETD_01,FL,,CAC Skull Offset,keep,False,"(0009,xx9b)"
0009,xx9c,GEMS_PETD_01,LO,,Emiss Sub ID,func:generate_hashuid,False,"(0009,xx9c)"
0009,xx9d,GEMS_PETD_01,SL,,Radial Filter 3D,keep,False,"(0009,xx9d)"
